estado,municipio,parroquia,old_centro,new_centro,address
72,FALCON,MIRANDA,SAN ANTONIO,AMBULATORIO TIPO I ZUMURUCUARE,BASE DE MISIONES GRAN MARISCAL DE AYACUCHO,"SECTOR ZUMURUCUARE, IZQUIERDA CREPUSCULO CORIANO, FRENTE AVENIDA CHEMA SAHER, DERECHA  CALLE PRINCIPAL ZUMURUCUARE."
73,FALCON,MIRANDA,SAN GABRIEL,CENTRO DE EDUCACION INICIAL CIUDAD DE CORO,UNIDAD EDUCATIVA NACIONAL CIUDAD DE CORO,SECTOR PANTANO CENTRO DERECHA CALLE NORTE.  IZQUIERDA  CALLE MIRANDA. FRENTE CALLEJÓN  ITURBE AL LADO DEL CENTRO DE EDUCACION INICIAL CIUDAD DE CORO EDIFICIO
74,GUARICO,ORTIZ,ORTIZ,CICLO COMBINADO BEATRIZ DE RODRIGUEZ,ESCUELA BASICA JUAN GERMAN ROSCIO,SECTOR CASCO CENTRAL IZQUIERDA AVENIDA BOLIVAR. DERECHA CALLE SANTA ROSA. FRENTE CALLE SAN JUAN FRENTE A LA PLAZA BOLIVAR EDIFICIO
75,LARA,IRIBARREN,CATEDRAL,LICEO BOLIVARIANO MARIO BRICEÑO IRAGORRY,ESCUELA NACIONAL BOLIVARIANA BARARIDA,URBANIZACIÓN  BARADIDA DERECHA AVENIDA LIBERTADOR. FRENTE AVENIDA MORAN. IZQUIERDA CALLE DOS AL LADO DE LAS OFICINAS DEL MINISTERIO DEL PODER POPULAR  PARA LAS OBRAS PUBLICAS Y VIVIENDA EDIFICIO
76,LARA,IRIBARREN,CATEDRAL,"HOGAR CACHORRITOS
11 Y 12 EL JEBE","UNIDAD EDUCATIVA
ESTADAL SIMON BOLIVAR","BARRIO EL JEBE FRENTE AVENIDA PRINCIPAL.
DERECHA  CALLE 9. IZQUIERDA CALLE 8 A 50
METROS DEL MODULO POLICIAL CASA"
77,LARA,IRIBARREN,CATEDRAL,CANCHA TECHADA LA LAGUNITA,CASA COMUNAL LA LAGUNITA,BARRIO: LA LAGUNITA.  FRENTE CARRERA 8. IZQUIERDA  CALLE 1. DERECHA  CALLE 2. REFERENCIA A 150 METROS CANCHA TECHADA  LA LAGUNITA
78,LARA,IRIBARREN,LA CONCEPCION,CICLO BASICO INDUSTRIAL LARA,GRUPO ESCOLAR  JOSE GREGORIO HERNANDEZ,"URBANIZACIÓN TEREPAIMA DERECHA  AVENIDA VENEZUELA. FRENTE CALLE 30. IZQUIERDA CARRERA
28 AL FRENTE DE LA IGLESIA CATEDRAL  CASA"
79,LARA,IRIBARREN,LA CONCEPCION,LICEO BOLIVARIANO RAFAEL VILLAVICENCIO,CENTRO PREESCOLAR MADRE TERESA DE CALCUTA,"URBANIZACIÓN SANTA EDUVIGE FRENTE CALLE 55. DERECHA CARRERA 22. IZQUIERDA CARRERA 23 A
400 METROS DEL HOSPITAL QUIRURGICO MEDICO PRIVADO CASA"
80,LARA,IRIBARREN,LA CONCEPCION,UNIDAD EDUCATIVA COLEGIO SAN PEDRO,GRUPO ESCOLAR PABLO MANZANO VELOZ,BARRIO BARRIO NUEVO  IZQUIERDA  CALLE 60. DERECHA CARRERA 15. FRENTE CARRERA 15 FRENTE A LA PLAZA FRANCISCO  DE MIRANDA EDIFICIO
81,LARA,IRIBARREN,LA CONCEPCION,UNIDAD EDUCATIVA JOSE MARIA DOMINGUEZ,UNIDAD EDUCATIVA LAS BRISAS,"SECTOR LAS BRISAS FRENTE  AVENIDA  SAN VICENTE.
DERECHA  CALLE DE TIERRA. IZQUIERDA PROLONGACIÓN SUR DE LA CALLE 52 A 50 METROS DE LA AVENIDA  SAN VICENTE EDIFICIO"
